n,scenario,design,alpha,ND,status,mip_gap,wall_s,opened,capacity_opened,transport_cost,quality_control,manufacturing,facility_cost,material_cost,total_cost,cost_per_therapy,mean_return_time,max_return_time,mean_HOLD,mean_survival,expected_lost
200,Scenario 1,cost,0.0,18,optimal,0.0,14.5,m2,31,247400.0,1862400.0,24652930.0,22557730.0,2095200.0,26762730.0,133813.65,18.99,19,0.0,0.96684,6.633
200,Scenario 1,cost,0.0,22,optimal,0.0,20.4,m2,31,244800.0,1862400.0,24652930.0,22557730.0,2095200.0,26760130.0,133800.65,19.06,21,0.06,0.96673,6.654
200,Scenario 1,cost,0.0,26,optimal,0.0,31.5,m3+m6,20,519893.0,1862400.0,17133685.8,15038485.8,2095200.0,19515978.8,97579.89,20.96,27,1.96,0.96326,7.348
200,Scenario 1,cost,0.0,30,optimal,0.0,55.8,m3+m6,20,518157.0,1862400.0,17133685.8,15038485.8,2095200.0,19514242.8,97571.21,22.51,31,3.51,0.96042,7.916
200,Scenario 1,cost,0.0,34,optimal,0.0,77.2,m3+m6,20,517072.0,1862400.0,17133685.8,15038485.8,2095200.0,19513157.8,97565.79,24.045,35,5.045,0.9581,8.38
200,Scenario 1,cost,0.0,38,optimal,0.0,329.0,m1+m3,14,425464.0,1862400.0,12622139.8,10526939.8,2095200.0,14910003.8,74550.02,26.385,39,7.385,0.95333,9.333
200,Scenario 1,cost,0.0,42,optimal,0.0,579.1,m1+m3,14,424216.0,1862400.0,12622139.8,10526939.8,2095200.0,14908755.8,74543.78,28.34,42,9.34,0.9506,9.88
200,Scenario 2,survival,100000.0,18,optimal,0.0,8.8,m2,31,297260.0,1862400.0,24652930.0,22557730.0,2095200.0,26812590.0,134062.95,18.495,19,0.0,0.96825,6.349
200,Scenario 2,survival,100000.0,22,optimal,2.9128846054366312e-05,20.7,m2,31,294300.0,1862400.0,24652930.0,22557730.0,2095200.0,26809630.0,134048.15,18.54,23,0.035,0.96823,6.355
200,Scenario 2,survival,100000.0,26,optimal,3.474280945822808e-07,23.0,m3+m6,20,554334.0,1862400.0,17133685.8,15038485.8,2095200.0,19550419.8,97752.1,19.695,27,0.85,0.9668,6.64
200,Scenario 2,survival,100000.0,30,optimal,1.1791718763257764e-07,36.7,m3+m6,20,557499.0,1862400.0,17133685.8,15038485.8,2095200.0,19553584.8,97767.92,19.73,31,0.9,0.96697,6.605
200,Scenario 2,survival,100000.0,34,optimal,1.6652813083062996e-07,51.9,m3+m6,20,558554.0,1862400.0,17133685.8,15038485.8,2095200.0,19554639.8,97773.2,19.785,35,0.96,0.96698,6.605
200,Scenario 2,survival,100000.0,38,optimal,8.475269725561864e-05,118.8,m1+m3,14,469142.0,1862400.0,12622139.8,10526939.8,2095200.0,14953681.8,74768.41,24.24,39,5.4,0.96357,7.287
200,Scenario 2,survival,100000.0,42,optimal,9.884754269776591e-05,276.5,m1+m3,14,469297.0,1862400.0,12622139.8,10526939.8,2095200.0,14953836.8,74769.18,24.29,42,5.455,0.96381,7.238
