design,tier,n,alpha_tier,w_risk,mean_TRT,mean_HOLD,median_HOLD,max_HOLD,mean_survival,expected_lost,weighted_loss,n_patients_total,max_facilities
cost,H,30,1500000.0,0.15,20.5,1.5333333333333334,0.0,24,0.9239525012843501,2.2814249614694964,6.844274884408489,100,2
cost,M,40,1000000.0,0.05,21.375,2.375,0.0,23,0.9742588056626275,1.0296477734948986,2.059295546989797,100,2
cost,L,30,500000.0,0.02,29.833333333333332,10.833333333333334,8.5,23,0.9857630159648731,0.42710952105380484,0.42710952105380484,100,2
cost,ALL,100,,,23.65,4.66,0.0,24,0.9626181774398179,3.7381822560181996,9.33067995245209,100,2
survival,H,30,1500000.0,0.15,18.466666666666665,0.0,0.0,0,0.9310406196647992,2.0687814100560216,6.206344230168065,100,2
survival,M,40,1000000.0,0.05,19.325,0.35,0.0,6,0.9766762998810871,0.9329480047565178,1.8658960095130357,100,2
survival,L,30,500000.0,0.02,27.966666666666665,8.966666666666667,4.0,23,0.9866471953072957,0.4005841407811257,0.4005841407811257,100,2
survival,ALL,100,,,21.66,2.83,0.0,23,0.9659768644440634,3.402313555593665,8.472824380462226,100,2
cost,H,60,1500000.0,0.15,20.6,1.6,0.0,23,0.9235985546716416,4.584086719701502,13.752260159104505,200,2
cost,M,80,1000000.0,0.05,22.8375,3.8375,0.0,23,0.9725283445616603,2.1977324350671776,4.395464870134355,200,2
cost,L,60,500000.0,0.02,32.983333333333334,13.983333333333333,20.5,23,0.984270277659842,0.9437833404094798,0.9437833404094798,200,2
cost,ALL,200,,,25.21,6.21,0.0,23,0.9613719875241092,7.725602495178159,19.09150836964834,200,2
survival,H,60,1500000.0,0.15,18.6,0.03333333333333333,0.0,1,0.9305591631313141,4.1664502121211475,12.499350636363442,200,2
survival,M,80,1000000.0,0.05,22.075,3.1375,0.0,23,0.9734294015449724,2.1256478764022164,4.251295752804433,200,2
survival,L,60,500000.0,0.02,32.916666666666664,13.95,20.5,23,0.9843024556902498,0.9418526585850141,0.9418526585850141,200,2
survival,ALL,200,,,24.285,5.45,0.0,23,0.9638302462644581,7.233950747108378,17.69249904775289,200,2
cost,H,150,1500000.0,0.15,19.013333333333332,0.013333333333333334,0.0,1,0.9290692847250555,10.639607291241678,31.918821873725033,500,3
cost,M,200,1000000.0,0.05,22.61,3.61,0.0,23,0.9728054062293501,5.438918754129992,10.877837508259985,500,3
cost,L,150,500000.0,0.02,33.846666666666664,14.846666666666666,21.0,23,0.9838613075162135,2.4208038725679772,2.4208038725679772,500,3
cost,ALL,500,,,24.902,5.902,0.0,23,0.9630013401641208,18.499329917939647,45.217463254552996,500,3
survival,H,150,1500000.0,0.15,17.78,0.0,0.0,0,0.933515514530216,9.972672820467611,29.918018461402834,500,3
survival,M,200,1000000.0,0.05,21.24,2.625,0.0,24,0.974423322585633,5.1153354828734106,10.230670965746821,500,3
survival,L,150,500000.0,0.02,33.04,14.1,19.0,24,0.9842440191379507,2.3633971293073976,2.3633971293073976,500,3
survival,ALL,500,,,23.742,5.28,0.0,24,0.9650971891347032,17.45140543264842,42.51208655645706,500,3
cost,H,150,1500000.0,0.15,19.026666666666667,0.02666666666666667,0.0,1,0.9290214411212124,10.646783831818144,31.940351495454433,500,2
cost,M,200,1000000.0,0.05,22.765,3.765,0.0,23,0.9726205106768794,5.475897864624129,10.951795729248259,500,2
cost,L,150,500000.0,0.02,33.96666666666667,14.966666666666667,19.5,23,0.9838038337016083,2.429424944758737,2.429424944758737,500,2
cost,ALL,500,,,25.004,6.004,0.0,23,0.962895786717598,18.55210664120101,45.321572169461426,500,2
survival,H,150,1500000.0,0.15,17.78,0.0,0.0,0,0.933515514530216,9.972672820467611,29.918018461402834,500,2
survival,M,200,1000000.0,0.05,21.24,2.625,0.0,24,0.9744233001096677,5.115339978066446,10.230679956132892,500,2
survival,L,150,500000.0,0.02,33.04,14.1,19.0,24,0.9842440328216986,2.363395076745194,2.363395076745194,500,2
survival,ALL,500,,,23.742,5.28,0.0,24,0.9650971842494415,17.45140787527925,42.51209349428092,500,2
